Store,CardID,EAN,Category,MedType,SW2Key,Revenue,RevenueInc.,Qty,TransactionType,BookingDate
9,26496615699,9987,2,38,24,34.5,34.5,1.0,1,2017-10-02
3,91902775799,9989,2,38,24,56.46,56.46,1.0,1,2017-10-02
9,65801188599,9999,5,32,22,25.91,25.91,1.0,1,2017-10-03
1,44317763699,9994,4,32,22,24.16,24.16,1.0,1,2017-10-03
2,49492115699,9986,1,34,22,54.79,54.79,3.0,1,2017-10-04
6,13930565999,9985,1,34,22,39.42,39.42,1.0,1,2017-10-04
3,27924459899,9986,1,34,22,18.26,18.26,1.0,1,2017-10-05
10,79903631099,9988,2,38,24,167.52,167.52,4.0,1,2017-10-05
9,71582711699,9990,2,38,24,107.35,107.35,7.0,1,2017-10-06
5,49492115699,9991,2,38,24,28.54,28.54,1.0,1,2017-10-06
7,16961933299,9995,4,32,22,45.49,45.49,1.0,5,2017-10-07
7,76954778599,9999,5,32,22,25.91,25.91,1.0,1,2017-10-08
10,98553018699,9996,4,32,22,54.4,54.4,1.0,1,2017-10-08
10,27924459899,10000,5,32,22,46.5,45.5,1.0,1,2017-10-09
8,6871626099,9991,2,38,24,28.54,28.54,1.0,1,2017-10-09
9,75951562599,9993,4,32,22,31.94,31.94,1.0,1,2017-10-09
6,32800870099,9989,2,38,24,169.38,169.38,3.0,1,2017-10-10
1,55827754899,9986,1,34,22,127.85,127.85,7.0,1,2017-10-10
1,75951562599,9994,4,32,22,24.16,24.16,1.0,1,2017-10-11
4,40606096099,9999,5,32,22,77.72,77.72,3.0,1,2017-10-11
6,22976009399,9994,4,32,22,24.16,24.16,1.0,1,2017-10-11
10,31274556699,9996,4,32,22,54.4,54.4,1.0,1,2017-10-12
8,59681386599,9987,2,38,24,34.5,34.5,1.0,1,2017-10-12
4,44777928599,9985,1,34,22,39.42,39.42,1.0,1,2017-10-14
6,44777928599,9994,4,32,22,24.16,24.16,1.0,1,2017-10-14
3,6233952299,9985,1,34,22,39.42,39.42,1.0,1,2017-10-14
8,31274556699,9996,4,32,22,54.4,54.4,1.0,1,2017-10-14
5,14374117099,10000,5,32,22,46.5,45.5,1.0,1,2017-10-14
10,49492115699,9998,5,32,22,38.16,37.16,1.0,1,2017-10-14
7,11216669699,9991,2,38,24,28.54,28.54,1.0,3,2017-10-15
7,94365889499,9988,2,38,24,41.88,41.88,1.0,1,2017-10-16
6,66427326499,9993,4,32,22,31.94,31.94,1.0,1,2017-10-17
2,71754214299,9987,2,38,24,34.5,34.5,1.0,1,2017-10-18
9,13930565999,9988,2,38,24,41.88,41.88,1.0,1,2017-10-18
